--- Data: modules ---
id: 1 | module_name: User Management | module_slug: users | status: active | created_at:  | updated_at:  | 
id: 47 | permission_key: settings.delete | permission_name: Delete Settings | module_id: 12 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 48 | permission_key: country.view | permission_name: View Countries | module_id: 14 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 49 | permission_key: country.create | permission_name: Create Countries | module_id: 14 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 50 | permission_key: country.edit | permission_name: Edit Countries | module_id: 14 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 51 | permission_key: country.delete | permission_name: Delete Countries | module_id: 14 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 52 | permission_key: state.view | permission_name: View States | module_id: 15 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 53 | permission_key: state.create | permission_name: Create States | module_id: 15 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 54 | permission_key: state.edit | permission_name: Edit States | module_id: 15 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 55 | permission_key: state.delete | permission_name: Delete States | module_id: 15 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 56 | permission_key: agent.view | permission_name: View Agents | module_id: 16 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 57 | permission_key: agent.create | permission_name: Create Agents | module_id: 16 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 58 | permission_key: agent.edit | permission_name: Edit Agents | module_id: 16 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 59 | permission_key: agent.delete | permission_name: Delete Agents | module_id: 16 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 60 | permission_key: transport.view | permission_name: View Transports | module_id: 17 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 61 | permission_key: transport.create | permission_name: Create Transports | module_id: 17 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 62 | permission_key: transport.edit | permission_name: Edit Transports | module_id: 17 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 63 | permission_key: transport.delete | permission_name: Delete Transports | module_id: 17 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 64 | permission_key: expense.view | permission_name: View Expenses | module_id: 18 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 65 | permission_key: expense.create | permission_name: Create Expenses | module_id: 18 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 66 | permission_key: expense.edit | permission_name: Edit Expenses | module_id: 18 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 67 | permission_key: expense.delete | permission_name: Delete Expenses | module_id: 18 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 68 | permission_key: bank_account.view | permission_name: View Bank Accounts | module_id: 19 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 69 | permission_key: bank_account.create | permission_name: Create Bank Accounts | module_id: 19 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 70 | permission_key: bank_account.edit | permission_name: Edit Bank Accounts | module_id: 19 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 71 | permission_key: bank_account.delete | permission_name: Delete Bank Accounts | module_id: 19 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 72 | permission_key: module.view | permission_name: View Modules | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 73 | permission_key: module.create | permission_name: Create Module | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 74 | permission_key: module.edit | permission_name: Edit Module | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 75 | permission_key: module.delete | permission_name: Delete Module | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 76 | permission_key: permission.view | permission_name: View Permission Keys | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 77 | permission_key: permission.create | permission_name: Create Permission Key | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 78 | permission_key: permission.edit | permission_name: Edit Permission Key | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 79 | permission_key: permission.delete | permission_name: Delete Permission Key | module_id: 1 | created_at: 2026-01-21 11:11:23 | updated_at: 2026-01-21 11:11:23 | 
id: 80 | permission_key: customer.view | permission_name: View Customers | module_id: 25 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 81 | permission_key: customer.create | permission_name: Create Customers | module_id: 25 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 82 | permission_key: customer.edit | permission_name: Edit Customers | module_id: 25 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 83 | permission_key: customer.delete | permission_name: Delete Customers | module_id: 25 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 84 | permission_key: vendor.view | permission_name: View Vendors | module_id: 26 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 85 | permission_key: vendor.create | permission_name: Create Vendors | module_id: 26 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 86 | permission_key: vendor.edit | permission_name: Edit Vendors | module_id: 26 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 87 | permission_key: vendor.delete | permission_name: Delete Vendors | module_id: 26 | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
